Brand_ID,Brand_Name,Generic_ID,Generic_Name,Product_Code,Unit,Strength,Form,Category,Manufacturer,Pack_Size
1,Acipep Chewable,G035,Antacid,ACI-T,Tablet,Alginic acid 400mg + Magnesium hydroxide 185mg + Aluminium hydroxide 195mg + Simethicone 25mg,Tablet,,,10
2,Acipep Suspension,G035,Antacid,ACI-S,Bottle,Aluminium hydroxide 200mg/5ml + Magnesium hydroxide 200mg/5ml + Simethicone 25mg/5ml,Suspension,,,1
3,Advant 16mg,G108,Candesartan,ADV16T,Tablet,16mg,Tablet,Antihypertensives,,10
4,Advant 8mg,G108,Candesartan,ADV8,Tablet,8mg,Tablet,Antihypertensives,,10
5,Advantec 16/12.5mg,G107,Candesartan/Hydrochlorothiazide,ADV16,Tablet,16/12.5mg,Tablet,Antihypertensives,,10
6,Aldactone 25mg,G102,Spironolactone,ALD25,Tablet,25mg,Tablet,Diuretics,Pfizer,10
7,Alfuzosin 10mg,G145,Alfuzosin,ALF10,Tablet,10mg,Tablet,Urological,,10
8,Alphabetic Caplets,G016,Multivitamins,ALPH,Caplet,Vit A 5000IU + Vit C 75mg,Caplet,Vitamins,,10
9,Alphagan Eye Drop,G065,Brimonidine,ALP-E,Bottle,0.2%,Eye Drops,,Allergan,1
10,Amatem Softgel 20/120mg,G009,Artemether/Lumefantrine,AMA20120,Capsule,20/120mg,Softgel Capsule,Antimalarials,,10
11,Amatem Softgel 80/480mg,G009,Artemether/Lumefantrine,AMA80480,Capsule,80/480mg,Softgel Capsule,Antimalarials,,10
12,Amlong 10mg,G105,Amlodipine,AML10,Tablet,10mg,Tablet,Antihypertensives,,10
13,Amlong 5mg,G105,Amlodipine,AML5,Tablet,5mg,Tablet,Antihypertensives,,10
14,Amoxil 250mg Capsules,G003,Amoxicillin,AMX250,Capsule,250mg,Capsule,Antibiotics,GSK,10
15,Ampiclox Suspension,G005,Ampicillin/Cloxacillin,AMP250S,Bottle,250mg/5ml,Suspension,Antibiotics,,1
16,Anorol,G026,Paracetamol/Orphenadrine,ANO,Tablet,450/35mg,Tablet,Analgesics,,10
17,Aprovasc 300/10mg,G106,Irbesartan/Amlodipine,APR300,Tablet,300/10mg,Tablet,Antihypertensives,Sanofi,10
18,Artesun 30mg,G080,Artesunate,ART30,Vial,30mg,Injection,Antimalarials,,1
19,Artesun 60mg,G080,Artesunate,ART60,Vial,60mg,Injection,Antimalarials,,1
20,Arthocare Forte,G016,Multivitamins,ATH-F,Capsule,Vit A 5000IU + Vit C 75mg,Capsule,Vitamins,,10
21,Arthrotec 75mg,G013,Diclofenac/Misoprostol,ART75,Tablet,75mg,Tablet,,Pfizer,10
22,Astyfer Capsules,G019,Iron Containing Multivitamin,ATF-C,Capsule,Fe 18mg + Multivitamins,Capsule,Haematinics,,10
23,Astyfer Syrup,G019,Iron Containing Multivitamin,ATF-S,Bottle,Fe 18mg + Multivitamins,Syrup,Haematinics,,1
24,Astymin Capsules,G016,Multivitamins,AST-C,Capsule,Vit A 5000IU + Vit C 75mg,Capsule,Vitamins,,10
